file,problem,planning_time,singlesoutcome_planning_call,alloutcome_planning_call,unsolvable_states,solvable,policy_length,plan_length
p_2_1.pddl,p2,0.011,1,1,0,0,0,0
p_2_2.pddl,p2,0.053,7,7,0,1,44,46
p_2_3.pddl,p2,126.365,7662,7662,222,0,0,0
p_2_4.pddl,p2,42.912,2942,2942,398,0,0,0
p_2_5.pddl,p2,0.060,7,7,0,1,56,58
p_2_6.pddl,p2,0.054,7,7,0,1,50,52
p_2_7.pddl,p2,0.053,7,7,0,1,44,46
p_2_8.pddl,p2,0.054,7,7,0,1,56,58
p_2_9.pddl,p2,314.060,18597,18597,451,0,0,0
p_2_10.pddl,p2,0.068,7,7,0,1,44,46
p_3_1.pddl,p3,0.011,1,1,0,0,0,0
p_3_2.pddl,p3,0.020,1,1,0,0,0,0
p_3_3.pddl,p3,0.011,1,1,0,0,0,0
p_3_4.pddl,p3,279.809,12618,12618,152,0,0,0
p_3_5.pddl,p3,0.011,1,1,0,0,0,0
p_3_6.pddl,p3,0.175,1,1,0,0,0,0
p_3_7.pddl,p3,0.070,1,1,0,0,0,0
p_3_8.pddl,p3,0.724,34,34,7,0,0,0
p_3_9.pddl,p3,450.687,13259,13259,600,0,0,0
p_3_10.pddl,p3,1.878,1,1,0,0,0,0
p_4_1.pddl,0,0,0,0,0,0,0,0
p_4_2.pddl,0,0,0,0,0,0,0,0
p_4_3.pddl,0,0,0,0,0,0,0,0
p_4_4.pddl,p4,35.656,520,520,63,0,0,0
p_4_5.pddl,0,0,0,0,0,0,0,0
p_4_6.pddl,0,0,0,0,0,0,0,0
p_4_7.pddl,0,0,0,0,0,0,0,0
p_4_8.pddl,0,0,0,0,0,0,0,0
p_4_9.pddl,p4,0.118,1,1,0,0,0,0
p_4_10.pddl,0,0,0,0,0,0,0,0
p_5_1.pddl,p5,927.905,1281,1281,127,0,0,0
p_5_2.pddl,0,0,0,0,0,0,0,0
p_5_3.pddl,0,0,0,0,0,0,0,0
p_5_4.pddl,0,0,0,0,0,0,0,0
p_5_5.pddl,p5,0.018,1,1,0,0,0,0
p_5_6.pddl,0,0,0,0,0,0,0,0
p_5_7.pddl,0,0,0,0,0,0,0,0
p_5_8.pddl,p5,0.019,1,1,0,0,0,0
p_5_9.pddl,p5,33.108,1,1,0,0,0,0
p_5_10.pddl,0,0,0,0,0,0,0,0
p_6_1.pddl,p6,0.095,1,1,0,0,0,0
p_6_2.pddl,0,0,0,0,0,0,0,0
p_6_3.pddl,p6,502.001,89,89,15,0,0,0
p_6_4.pddl,0,0,0,0,0,0,0,0
p_6_5.pddl,p6,0.020,1,1,0,0,0,0
p_6_6.pddl,p6,1605.150,1,1,0,0,0,0
p_6_7.pddl,0,0,0,0,0,0,0,0
p_6_8.pddl,0,0,0,0,0,0,0,0
p_6_9.pddl,0,0,0,0,0,0,0,0
p_6_10.pddl,p6,0.015,1,1,0,0,0,0
p_7_1.pddl,0,0,0,0,0,0,0,0
p_7_2.pddl,0,0,0,0,0,0,0,0
p_7_3.pddl,0,0,0,0,0,0,0,0
p_7_4.pddl,0,0,0,0,0,0,0,0
p_7_5.pddl,p7,42.031,1,1,0,0,0,0
p_7_6.pddl,p7,1.113,1,1,0,0,0,0
p_7_7.pddl,p7,0.315,1,1,0,0,0,0
p_7_8.pddl,0,0,0,0,0,0,0,0
p_7_9.pddl,0,0,0,0,0,0,0,0
p_7_10.pddl,0,0,0,0,0,0,0,0
p_8_1.pddl,0,0,0,0,0,0,0,0
p_8_2.pddl,p8,0.022,1,1,0,0,0,0
p_8_3.pddl,p8,0.025,1,1,0,0,0,0
p_8_4.pddl,0,0,0,0,0,0,0,0
p_8_5.pddl,0,0,0,0,0,0,0,0
p_8_6.pddl,p8,0.026,1,1,0,0,0,0
p_8_7.pddl,0,0,0,0,0,0,0,0
p_8_8.pddl,p8,0.052,1,1,0,0,0,0
p_8_9.pddl,p8,0.021,1,1,0,0,0,0
p_8_10.pddl,p8,35.676,1,1,0,0,0,0
p_9_1.pddl,0,0,0,0,0,0,0,0
p_9_2.pddl,p9,0.037,1,1,0,0,0,0
p_9_3.pddl,0,0,0,0,0,0,0,0
p_9_4.pddl,p9,19.114,1,1,0,0,0,0
p_9_5.pddl,p9,0.025,1,1,0,0,0,0
p_9_6.pddl,p9,0.216,1,1,0,0,0,0
p_9_7.pddl,0,0,0,0,0,0,0,0
p_9_8.pddl,0,0,0,0,0,0,0,0
p_9_9.pddl,0,0,0,0,0,0,0,0
p_9_10.pddl,0,0,0,0,0,0,0,0
p_10_1.pddl,0,0,0,0,0,0,0,0
p_10_2.pddl,0,0,0,0,0,0,0,0
p_10_3.pddl,0,0,0,0,0,0,0,0
p_10_4.pddl,p10,0.279,1,1,0,0,0,0
p_10_5.pddl,0,0,0,0,0,0,0,0
p_10_6.pddl,0,0,0,0,0,0,0,0
p_10_7.pddl,0,0,0,0,0,0,0,0
p_10_8.pddl,p10,2.475,1,1,0,0,0,0
p_10_9.pddl,0,0,0,0,0,0,0,0
p_10_10.pddl,0,0,0,0,0,0,0,0
